This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    28170
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:    17180

Total number of variables............................:     5278
                     variables with only lower bounds:      990
                variables with lower and upper bounds:     4288
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4248
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 396  2.6407575e-02 4.31e-07 3.25e-06  -7.0 1.88e-04  -1.8 1.00e+00 1.00e+00h  1
 397  2.6407532e-02 3.49e-05 3.23e-06  -7.0 1.68e-03  -2.7 1.00e+00 1.00e+00h  1
 398  2.6407485e-02 4.43e-05 3.21e-06  -7.0 1.89e-03  -2.8 1.00e+00 1.00e+00h  1
 399  2.6407467e-02 6.25e-06 3.21e-06  -7.0 7.06e-04  -2.3 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 400  2.6407460e-02 8.79e-07 3.20e-06  -7.0 2.64e-04  -1.9 1.00e+00 1.00e+00h  1
 401  2.6407400e-02 7.13e-05 3.18e-06  -7.0 2.36e-03  -2.9 1.00e+00 1.00e+00h  1
 402  2.6407029e-02 5.90e-03 9.96e-06  -7.0 1.35e-02  -3.8 1.00e+00 1.00e+00h  1
 403  2.6406496e-02 7.78e-03 2.85e-06  -7.0 2.13e-02  -3.9 1.00e+00 1.00e+00h  1
 404  2.6406470e-02 2.00e-05 2.82e-06  -7.0 9.94e-04  -2.5 1.00e+00 1.00e+00h  1
 405  2.6406461e-02 2.43e-06 2.81e-06  -7.0 3.72e-04  -2.1 1.00e+00 1.00e+00h  1
 406  2.6406379e-02 1.97e-04 2.77e-06  -7.0 3.30e-03  -3.1 1.00e+00 1.00e+00h  1
 407  2.6406375e-02 4.47e-07 2.77e-06  -7.0 1.55e-04  -1.7 1.00e+00 1.00e+00h  1
 408  2.6406363e-02 3.92e-06 2.77e-06  -7.0 4.63e-04  -2.2 1.00e+00 1.00e+00h  1
 409  2.6406359e-02 5.51e-07 2.77e-06  -7.0 1.74e-04  -1.8 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 410  2.6406321e-02 4.47e-05 2.75e-06  -7.0 1.55e-03  -2.8 1.00e+00 1.00e+00h  1
 411  2.6406306e-02 6.31e-06 2.74e-06  -7.0 5.81e-04  -2.3 1.00e+00 1.00e+00h  1
 412  2.6406179e-02 5.14e-04 2.68e-06  -7.0 5.12e-03  -3.3 1.00e+00 1.00e+00h  1
 413  2.6406039e-02 6.58e-04 2.62e-06  -7.0 5.61e-03  -3.3 1.00e+00 1.00e+00h  1
 414  2.6406032e-02 1.52e-06 2.62e-06  -7.0 2.63e-04  -2.0 1.00e+00 1.00e+00h  1
 415  2.6406030e-02 2.04e-07 2.61e-06  -7.0 9.85e-05  -1.6 1.00e+00 1.00e+00h  1
 416  2.6406023e-02 1.84e-06 2.61e-06  -7.0 2.95e-04  -2.1 1.00e+00 1.00e+00h  1
 417  2.6406001e-02 1.65e-05 2.60e-06  -7.0 8.82e-04  -2.5 1.00e+00 1.00e+00h  1
 418  2.6405992e-02 2.33e-06 2.60e-06  -7.0 3.30e-04  -2.1 1.00e+00 1.00e+00h  1
 419  2.6405920e-02 1.89e-04 2.56e-06  -7.0 2.93e-03  -3.1 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 420  2.6405892e-02 2.68e-05 2.55e-06  -7.0 1.09e-03  -2.6 1.00e+00 1.00e+00h  1
 421  2.6405862e-02 3.39e-05 2.53e-06  -7.0 1.22e-03  -2.7 1.00e+00 1.00e+00h  1
 422  2.6405828e-02 4.30e-05 2.52e-06  -7.0 1.37e-03  -2.7 1.00e+00 1.00e+00h  1
 423  2.6405815e-02 6.07e-06 2.51e-06  -7.0 5.11e-04  -2.3 1.00e+00 1.00e+00h  1
 424  2.6405810e-02 8.53e-07 2.51e-06  -7.0 1.92e-04  -1.9 1.00e+00 1.00e+00h  1
 425  2.6405768e-02 6.92e-05 2.49e-06  -7.0 1.71e-03  -2.8 1.00e+00 1.00e+00h  1
 426  2.6405752e-02 9.78e-06 2.48e-06  -7.0 6.39e-04  -2.4 1.00e+00 1.00e+00h  1
 427  2.6405746e-02 1.37e-06 2.47e-06  -7.0 2.39e-04  -2.0 1.00e+00 1.00e+00h  1
 428  2.6405728e-02 1.24e-05 2.47e-06  -7.0 7.15e-04  -2.5 1.00e+00 1.00e+00h  1
 429  2.6405572e-02 1.01e-03 2.39e-06  -7.0 6.23e-03  -3.4 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 430  2.6405565e-02 2.37e-06 2.38e-06  -7.0 2.92e-04  -2.1 1.00e+00 1.00e+00h  1
 431  2.6405543e-02 2.01e-05 2.37e-06  -7.0 8.71e-04  -2.6 1.00e+00 1.00e+00h  1
 432  2.6405535e-02 2.84e-06 2.37e-06  -7.0 3.26e-04  -2.1 1.00e+00 1.00e+00h  1
 433  2.6405511e-02 2.56e-05 2.35e-06  -7.0 9.72e-04  -2.6 1.00e+00 1.00e+00h  1
 434  2.6405483e-02 3.24e-05 2.34e-06  -7.0 1.09e-03  -2.7 1.00e+00 1.00e+00h  1
 435  2.6405473e-02 4.57e-06 2.33e-06  -7.0 4.07e-04  -2.2 1.00e+00 1.00e+00h  1
 436  2.6405384e-02 3.72e-04 2.29e-06  -7.0 3.59e-03  -3.2 1.00e+00 1.00e+00h  1
 437  2.6405379e-02 8.50e-07 2.28e-06  -7.0 1.68e-04  -1.9 1.00e+00 1.00e+00h  1
 438  2.6405367e-02 7.38e-06 2.28e-06  -7.0 5.02e-04  -2.3 1.00e+00 1.00e+00h  1
 439  2.6405256e-02 6.02e-04 2.22e-06  -7.0 4.40e-03  -3.3 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 440  2.6405251e-02 1.39e-06 2.21e-06  -7.0 2.06e-04  -2.0 1.00e+00 1.00e+00h  1
 441  2.6405235e-02 1.20e-05 2.21e-06  -7.0 6.16e-04  -2.4 1.00e+00 1.00e+00h  1
 442  2.6405230e-02 1.69e-06 2.20e-06  -7.0 2.31e-04  -2.0 1.00e+00 1.00e+00h  1
 443  2.6405212e-02 1.52e-05 2.19e-06  -7.0 6.89e-04  -2.5 1.00e+00 1.00e+00h  1
 444  2.6405062e-02 1.24e-03 2.11e-06  -7.0 5.96e-03  -3.5 1.00e+00 1.00e+00h  1
 445  2.6405055e-02 2.93e-06 2.11e-06  -7.0 2.79e-04  -2.1 1.00e+00 1.00e+00h  1
 446  2.6405034e-02 2.48e-05 2.09e-06  -7.0 8.32e-04  -2.6 1.00e+00 1.00e+00h  1
 447  2.6405026e-02 3.49e-06 2.09e-06  -7.0 3.11e-04  -2.2 1.00e+00 1.00e+00h  1
 448  2.6404957e-02 2.84e-04 2.05e-06  -7.0 2.75e-03  -3.1 1.00e+00 1.00e+00h  1
 449  2.6404931e-02 4.02e-05 2.03e-06  -7.0 1.02e-03  -2.7 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 450  2.6404902e-02 5.09e-05 2.02e-06  -7.0 1.14e-03  -2.8 1.00e+00 1.00e+00h  1
 451  2.6404891e-02 7.18e-06 2.01e-06  -7.0 4.26e-04  -2.3 1.00e+00 1.00e+00h  1
 452  2.6404887e-02 1.01e-06 2.01e-06  -7.0 1.60e-04  -1.9 1.00e+00 1.00e+00h  1
 453  2.6404875e-02 9.08e-06 2.00e-06  -7.0 4.77e-04  -2.4 1.00e+00 1.00e+00h  1
 454  2.6404870e-02 1.28e-06 2.00e-06  -7.0 1.79e-04  -2.0 1.00e+00 1.00e+00h  1
 455  2.6404857e-02 1.15e-05 1.99e-06  -7.0 5.34e-04  -2.4 1.00e+00 1.00e+00h  1
 456  2.6404852e-02 1.62e-06 1.99e-06  -7.0 2.00e-04  -2.0 1.00e+00 1.00e+00h  1
 457  2.6404807e-02 1.32e-04 1.96e-06  -7.0 1.78e-03  -3.0 1.00e+00 1.00e+00h  1
 458  2.6404756e-02 1.68e-04 1.93e-06  -7.0 1.97e-03  -3.0 1.00e+00 1.00e+00h  1
 459  2.6404738e-02 2.37e-05 1.92e-06  -7.0 7.33e-04  -2.6 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 460  2.6404731e-02 3.33e-06 1.91e-06  -7.0 2.74e-04  -2.2 1.00e+00 1.00e+00h  1
 461  2.6404669e-02 2.71e-04 1.88e-06  -7.0 2.42e-03  -3.1 1.00e+00 1.00e+00h  1
 462  2.6404601e-02 3.46e-04 1.83e-06  -7.0 2.66e-03  -3.2 1.00e+00 1.00e+00h  1
 463  2.6404575e-02 4.91e-05 1.82e-06  -7.0 9.90e-04  -2.7 1.00e+00 1.00e+00h  1
 464  2.6404566e-02 6.89e-06 1.81e-06  -7.0 3.70e-04  -2.3 1.00e+00 1.00e+00h  1
 465  2.6404562e-02 9.69e-07 1.81e-06  -7.0 1.39e-04  -1.9 1.00e+00 1.00e+00h  1
 466  2.6404531e-02 7.86e-05 1.79e-06  -7.0 1.23e-03  -2.8 1.00e+00 1.00e+00h  1
 467  2.6404519e-02 1.11e-05 1.78e-06  -7.0 4.61e-04  -2.4 1.00e+00 1.00e+00h  1
 468  2.6404514e-02 1.56e-06 1.78e-06  -7.0 1.72e-04  -2.0 1.00e+00 1.00e+00h  1
 469  2.6404501e-02 1.41e-05 1.77e-06  -7.0 5.15e-04  -2.5 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 470  2.6404386e-02 1.15e-03 1.70e-06  -7.0 4.44e-03  -3.4 1.00e+00 1.00e+00h  1
 471  2.6404380e-02 2.70e-06 1.69e-06  -7.0 2.08e-04  -2.1 1.00e+00 1.00e+00h  1
 472  2.6404364e-02 2.29e-05 1.69e-06  -7.0 6.21e-04  -2.6 1.00e+00 1.00e+00h  1
 473  2.6404358e-02 3.23e-06 1.69e-06  -7.0 2.33e-04  -2.1 1.00e+00 1.00e+00h  1
 474  2.6404340e-02 2.91e-05 1.69e-06  -7.0 6.99e-04  -2.6 1.00e+00 1.00e+00h  1
 475  2.6404334e-02 4.10e-06 1.69e-06  -7.0 2.62e-04  -2.2 1.00e+00 1.00e+00h  1
 476  2.6404331e-02 5.76e-07 1.69e-06  -7.0 9.83e-05  -1.8 1.00e+00 1.00e+00h  1
 477  2.6404324e-02 5.19e-06 1.69e-06  -7.0 2.95e-04  -2.2 1.00e+00 1.00e+00h  1
 478  2.6404257e-02 4.23e-04 1.70e-06  -7.0 2.66e-03  -3.2 1.00e+00 1.00e+00h  1
 479  2.6404185e-02 5.41e-04 1.70e-06  -7.0 3.01e-03  -3.2 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 480  2.6404181e-02 1.24e-06 1.70e-06  -7.0 1.41e-04  -1.9 1.00e+00 1.00e+00h  1
 481  2.6404151e-02 9.68e-05 1.70e-06  -7.0 1.27e-03  -2.9 1.00e+00 1.00e+00h  1
 482  2.6404140e-02 1.37e-05 1.70e-06  -7.0 4.77e-04  -2.4 1.00e+00 1.00e+00h  1
 483  2.6404136e-02 1.92e-06 1.70e-06  -7.0 1.79e-04  -2.0 1.00e+00 1.00e+00h  1
 484  2.6404098e-02 1.56e-04 1.71e-06  -7.0 1.61e-03  -3.0 1.00e+00 1.00e+00h  1
 485  2.6404096e-02 3.52e-07 1.71e-06  -7.0 7.56e-05  -1.6 1.00e+00 1.00e+00h  1
 486  2.6404091e-02 3.10e-06 1.71e-06  -7.0 2.27e-04  -2.1 1.00e+00 1.00e+00h  1
 487  2.6404089e-02 4.36e-07 1.71e-06  -7.0 8.51e-05  -1.7 1.00e+00 1.00e+00h  1
 488  2.6404083e-02 3.92e-06 1.71e-06  -7.0 2.55e-04  -2.2 1.00e+00 1.00e+00h  1
 489  2.6404066e-02 3.54e-05 1.71e-06  -7.0 7.66e-04  -2.7 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 490  2.6404059e-02 4.99e-06 1.71e-06  -7.0 2.87e-04  -2.2 1.00e+00 1.00e+00h  1
 491  2.6404056e-02 7.01e-07 1.71e-06  -7.0 1.08e-04  -1.8 1.00e+00 1.00e+00h  1
 492  2.6404049e-02 6.31e-06 1.71e-06  -7.0 3.24e-04  -2.3 1.00e+00 1.00e+00h  1
 493  2.6404046e-02 8.89e-07 1.71e-06  -7.0 1.21e-04  -1.9 1.00e+00 1.00e+00h  1
 494  2.6404038e-02 8.00e-06 1.71e-06  -7.0 3.64e-04  -2.3 1.00e+00 1.00e+00h  1
 495  2.6404035e-02 1.13e-06 1.71e-06  -7.0 1.37e-04  -1.9 1.00e+00 1.00e+00h  1
 496  2.6404007e-02 9.15e-05 1.72e-06  -7.0 1.23e-03  -2.9 1.00e+00 1.00e+00h  1
 497  2.6403997e-02 1.29e-05 1.72e-06  -7.0 4.62e-04  -2.4 1.00e+00 1.00e+00h  1
 498  2.6403993e-02 1.82e-06 1.72e-06  -7.0 1.73e-04  -2.0 1.00e+00 1.00e+00h  1
 499  2.6403959e-02 1.48e-04 1.72e-06  -7.0 1.56e-03  -3.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 500  2.6403946e-02 2.09e-05 1.72e-06  -7.0 5.86e-04  -2.5 1.00e+00 1.00e+00h  1
 501  2.6403941e-02 2.93e-06 1.72e-06  -7.0 2.20e-04  -2.1 1.00e+00 1.00e+00h  1
 502  2.6403899e-02 2.38e-04 1.73e-06  -7.0 1.98e-03  -3.1 1.00e+00 1.00e+00h  1
 503  2.6403883e-02 3.38e-05 1.73e-06  -7.0 7.44e-04  -2.6 1.00e+00 1.00e+00h  1
 504  2.6403750e-02 2.77e-03 1.74e-06  -7.0 6.75e-03  -3.6 1.00e+00 1.00e+00h  1
 505  2.6403731e-02 5.72e-05 1.74e-06  -7.0 9.50e-04  -2.7 1.00e+00 1.00e+00h  1
 506  2.6403710e-02 7.03e-05 1.74e-06  -7.0 1.07e-03  -2.8 1.00e+00 1.00e+00h  1
 507  2.6403702e-02 9.93e-06 1.74e-06  -7.0 4.02e-04  -2.4 1.00e+00 1.00e+00h  1
 508  2.6403635e-02 8.09e-04 1.75e-06  -7.0 3.63e-03  -3.3 1.00e+00 1.00e+00h  1
 509  2.6403631e-02 1.88e-06 1.75e-06  -7.0 1.70e-04  -2.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 510  2.6403603e-02 1.45e-04 1.76e-06  -7.0 1.53e-03  -2.9 1.00e+00 1.00e+00h  1
 511  2.6403593e-02 2.05e-05 1.76e-06  -7.0 5.76e-04  -2.5 1.00e+00 1.00e+00h  1
 512  2.6403589e-02 2.89e-06 1.76e-06  -7.0 2.16e-04  -2.1 1.00e+00 1.00e+00h  1
 513  2.6403577e-02 2.60e-05 1.76e-06  -7.0 6.48e-04  -2.6 1.00e+00 1.00e+00h  1
 514  2.6403573e-02 3.67e-06 1.76e-06  -7.0 2.43e-04  -2.1 1.00e+00 1.00e+00h  1
 515  2.6403534e-02 2.98e-04 1.76e-06  -7.0 2.19e-03  -3.1 1.00e+00 1.00e+00h  1
 516  2.6403492e-02 3.81e-04 1.77e-06  -7.0 2.48e-03  -3.1 1.00e+00 1.00e+00h  1
 517  2.6403490e-02 8.70e-07 1.77e-06  -7.0 1.16e-04  -1.8 1.00e+00 1.00e+00h  1
 518  2.6403484e-02 7.55e-06 1.77e-06  -7.0 3.48e-04  -2.3 1.00e+00 1.00e+00h  1
 519  2.6403481e-02 1.06e-06 1.77e-06  -7.0 1.31e-04  -1.9 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 520  2.6403475e-02 9.58e-06 1.77e-06  -7.0 3.92e-04  -2.3 1.00e+00 1.00e+00h  1
 521  2.6403416e-02 7.82e-04 1.78e-06  -7.0 3.54e-03  -3.3 1.00e+00 1.00e+00h  1
 522  2.6403414e-02 1.82e-06 1.78e-06  -7.0 1.66e-04  -2.0 1.00e+00 1.00e+00h  1
 523  2.6403406e-02 1.56e-05 1.78e-06  -7.0 4.99e-04  -2.4 1.00e+00 1.00e+00h  1
 524  2.6403402e-02 2.19e-06 1.78e-06  -7.0 1.87e-04  -2.0 1.00e+00 1.00e+00h  1
 525  2.6403393e-02 1.97e-05 1.78e-06  -7.0 5.61e-04  -2.5 1.00e+00 1.00e+00h  1
 526  2.6403315e-02 1.62e-03 1.79e-06  -7.0 5.08e-03  -3.5 1.00e+00 1.00e+00h  1
 527  2.6403311e-02 3.86e-06 1.79e-06  -7.0 2.38e-04  -2.1 1.00e+00 1.00e+00h  1
 528  2.6403310e-02 5.04e-07 1.79e-06  -7.0 8.94e-05  -1.7 1.00e+00 1.00e+00h  1
 529  2.6403306e-02 4.54e-06 1.79e-06  -7.0 2.68e-04  -2.2 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 530  2.6403294e-02 4.09e-05 1.79e-06  -7.0 8.05e-04  -2.7 1.00e+00 1.00e+00h  1
 531  2.6403289e-02 5.78e-06 1.79e-06  -7.0 3.02e-04  -2.2 1.00e+00 1.00e+00h  1
 532  2.6403275e-02 5.20e-05 1.80e-06  -7.0 9.07e-04  -2.7 1.00e+00 1.00e+00h  1
 533  2.6403270e-02 7.34e-06 1.80e-06  -7.0 3.40e-04  -2.3 1.00e+00 1.00e+00h  1
 534  2.6403268e-02 1.03e-06 1.80e-06  -7.0 1.28e-04  -1.9 1.00e+00 1.00e+00h  1
 535  2.6403263e-02 9.29e-06 1.80e-06  -7.0 3.83e-04  -2.3 1.00e+00 1.00e+00h  1
 536  2.6403261e-02 1.31e-06 1.80e-06  -7.0 1.44e-04  -1.9 1.00e+00 1.00e+00h  1
 537  2.6403242e-02 1.06e-04 1.80e-06  -7.0 1.30e-03  -2.9 1.00e+00 1.00e+00h  1
 538  2.6403220e-02 1.35e-04 1.80e-06  -7.0 1.46e-03  -2.9 1.00e+00 1.00e+00h  1
 539  2.6403213e-02 1.91e-05 1.81e-06  -7.0 5.48e-04  -2.5 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 540  2.6403210e-02 2.69e-06 1.81e-06  -7.0 2.05e-04  -2.1 1.00e+00 1.00e+00h  1
 541  2.6403201e-02 2.42e-05 1.81e-06  -7.0 6.17e-04  -2.5 1.00e+00 1.00e+00h  1
 542  2.6403197e-02 3.41e-06 1.81e-06  -7.0 2.31e-04  -2.1 1.00e+00 1.00e+00h  1
 543  2.6403188e-02 3.07e-05 1.81e-06  -7.0 6.95e-04  -2.6 1.00e+00 1.00e+00h  1
 544  2.6403184e-02 4.33e-06 1.81e-06  -7.0 2.61e-04  -2.2 1.00e+00 1.00e+00h  1
 545  2.6403183e-02 6.09e-07 1.81e-06  -7.0 9.77e-05  -1.7 1.00e+00 1.00e+00h  1
 546  2.6403178e-02 5.48e-06 1.81e-06  -7.0 2.93e-04  -2.2 1.00e+00 1.00e+00h  1
 547  2.6403177e-02 7.72e-07 1.81e-06  -7.0 1.10e-04  -1.8 1.00e+00 1.00e+00h  1
 548  2.6403163e-02 6.26e-05 1.81e-06  -7.0 9.91e-04  -2.7 1.00e+00 1.00e+00h  1
 549  2.6403158e-02 8.84e-06 1.81e-06  -7.0 3.72e-04  -2.3 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 550  2.6403113e-02 7.21e-04 1.82e-06  -7.0 3.36e-03  -3.3 1.00e+00 1.00e+00h  1
 551  2.6403111e-02 1.67e-06 1.82e-06  -7.0 1.58e-04  -1.9 1.00e+00 1.00e+00h  1
 552  2.6403092e-02 1.29e-04 1.82e-06  -7.0 1.42e-03  -2.9 1.00e+00 1.00e+00h  1
 553  2.6403071e-02 1.65e-04 1.83e-06  -7.0 1.60e-03  -2.9 1.00e+00 1.00e+00h  1
 554  2.6403064e-02 2.33e-05 1.83e-06  -7.0 6.01e-04  -2.5 1.00e+00 1.00e+00h  1
 555  2.6402930e-02 2.26e-03 4.85e-05  -7.0 1.96e+00  -3.5 1.00e+00 1.00e+00H  1
 556  2.6402951e-02 4.28e-06 1.84e-06  -7.0 2.55e-04  -2.1 1.00e+00 1.00e+00h  1
 557  2.6402934e-02 3.90e-05 1.84e-06  -7.0 7.66e-04  -2.6 1.00e+00 1.00e+00h  1
 558  2.6402917e-02 4.93e-05 1.84e-06  -7.0 8.63e-04  -2.7 1.00e+00 1.00e+00h  1
 559  2.6402899e-02 6.24e-05 1.85e-06  -7.0 9.72e-04  -2.7 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 560  2.6402787e-02 5.11e-03 1.87e-06  -7.0 8.84e-03  -3.7 1.00e+00 1.00e+00h  1
 561  2.6402785e-02 1.29e-05 1.87e-06  -7.0 4.14e-04  -2.3 1.00e+00 1.00e+00h  1
 562  2.6402783e-02 1.60e-06 1.87e-06  -7.0 1.55e-04  -1.9 1.00e+00 1.00e+00h  1
 563  2.6402778e-02 1.44e-05 1.87e-06  -7.0 4.67e-04  -2.4 1.00e+00 1.00e+00h  1
 564  2.6402776e-02 2.03e-06 1.87e-06  -7.0 1.75e-04  -2.0 1.00e+00 1.00e+00h  1
 565  2.6402770e-02 1.83e-05 1.87e-06  -7.0 5.25e-04  -2.4 1.00e+00 1.00e+00h  1
 566  2.6402768e-02 2.57e-06 1.87e-06  -7.0 1.97e-04  -2.0 1.00e+00 1.00e+00h  1
 567  2.6402761e-02 2.32e-05 1.87e-06  -7.0 5.92e-04  -2.5 1.00e+00 1.00e+00h  1
 568  2.6402758e-02 3.27e-06 1.87e-06  -7.0 2.22e-04  -2.1 1.00e+00 1.00e+00h  1
 569  2.6402751e-02 2.94e-05 1.87e-06  -7.0 6.66e-04  -2.6 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 570  2.6402748e-02 4.15e-06 1.88e-06  -7.0 2.50e-04  -2.1 1.00e+00 1.00e+00h  1
 571  2.6402740e-02 3.73e-05 1.88e-06  -7.0 7.51e-04  -2.6 1.00e+00 1.00e+00h  1
 572  2.6402661e-02 6.39e-06 1.41e-05  -7.0 2.68e-02  -3.6 1.00e+00 1.00e+00H  1
 573  2.6402652e-02 6.16e-05 1.89e-06  -7.0 9.59e-04  -2.7 1.00e+00 1.00e+00h  1
 574  2.6402566e-02 5.07e-03 1.08e-05  -7.0 8.72e-03  -3.7 1.00e+00 1.00e+00h  1
 575  2.6402418e-02 1.52e-03 7.17e-05  -7.0 9.81e+02  -3.7 1.00e+00 1.00e+00H  1
 576  2.6402411e-02 1.52e-05 1.94e-06  -7.0 4.66e-04  -2.4 1.00e+00 1.00e+00h  1
 577  2.6402342e-02 1.23e-03 1.95e-06  -7.0 4.21e-03  -3.3 1.00e+00 1.00e+00h  1
 578  2.6402345e-02 2.91e-06 1.95e-06  -7.0 1.98e-04  -2.0 1.00e+00 1.00e+00h  1
 579  2.6402338e-02 2.46e-05 1.95e-06  -7.0 5.93e-04  -2.5 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 580  2.6402336e-02 3.46e-06 1.95e-06  -7.0 2.23e-04  -2.1 1.00e+00 1.00e+00h  1
 581  2.6402328e-02 3.11e-05 1.95e-06  -7.0 6.68e-04  -2.5 1.00e+00 1.00e+00h  1
 582  2.6402276e-02 2.54e-03 1.97e-06  -7.0 6.06e-03  -3.5 1.00e+00 1.00e+00h  1
 583  2.6402270e-02 5.24e-05 1.97e-06  -7.0 8.53e-04  -2.6 1.00e+00 1.00e+00h  1
 584  2.6402268e-02 7.17e-06 1.97e-06  -7.0 3.20e-04  -2.2 1.00e+00 1.00e+00h  1
 585  2.6402246e-02 5.83e-04 1.98e-06  -7.0 2.89e-03  -3.2 1.00e+00 1.00e+00h  1
 586  2.6402224e-02 7.47e-04 1.99e-06  -7.0 3.27e-03  -3.2 1.00e+00 1.00e+00h  1
 587  2.6402223e-02 1.73e-06 1.99e-06  -7.0 1.53e-04  -1.9 1.00e+00 1.00e+00h  1
 588  2.6402220e-02 1.48e-05 1.99e-06  -7.0 4.60e-04  -2.4 1.00e+00 1.00e+00h  1
 589  2.6402218e-02 2.09e-06 1.99e-06  -7.0 1.72e-04  -1.9 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 590  2.6402208e-02 1.70e-04 1.99e-06  -7.0 1.55e-03  -2.9 1.00e+00 1.00e+00h  1
 591  2.6402204e-02 2.40e-05 1.99e-06  -7.0 5.83e-04  -2.5 1.00e+00 1.00e+00h  1
 592  2.6402203e-02 3.38e-06 1.99e-06  -7.0 2.19e-04  -2.0 1.00e+00 1.00e+00h  1
 593  2.6402198e-02 3.04e-05 2.00e-06  -7.0 6.57e-04  -2.5 1.00e+00 1.00e+00h  1
 594  2.6402197e-02 4.29e-06 2.00e-06  -7.0 2.46e-04  -2.1 1.00e+00 1.00e+00h  1
 595  2.6402196e-02 6.03e-07 2.00e-06  -7.0 9.24e-05  -1.7 1.00e+00 1.00e+00h  1
 596  2.6402194e-02 5.42e-06 2.00e-06  -7.0 2.77e-04  -2.1 1.00e+00 1.00e+00h  1
 597  2.6402178e-02 4.42e-04 2.00e-06  -7.0 2.50e-03  -3.1 1.00e+00 1.00e+00h  1
 598  2.6402161e-02 5.66e-04 2.01e-06  -7.0 2.83e-03  -3.1 1.00e+00 1.00e+00h  1
 599  2.6402160e-02 1.30e-06 2.01e-06  -7.0 1.33e-04  -1.8 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 600  2.6402158e-02 1.12e-05 2.01e-06  -7.0 3.98e-04  -2.3 1.00e+00 1.00e+00h  1
 601  2.6402136e-02 9.18e-04 2.02e-06  -7.0 3.60e-03  -3.3 1.00e+00 1.00e+00h  1
 602  2.6402135e-02 2.15e-06 2.02e-06  -7.0 1.69e-04  -1.9 1.00e+00 1.00e+00h  1
 603  2.6402126e-02 1.65e-04 2.03e-06  -7.0 1.52e-03  -2.9 1.00e+00 1.00e+00h  1
 604  2.6402116e-02 2.10e-04 2.03e-06  -7.0 1.71e-03  -2.9 1.00e+00 1.00e+00h  1
 605  2.6402112e-02 2.98e-05 2.03e-06  -7.0 6.44e-04  -2.5 1.00e+00 1.00e+00h  1
 606  2.6402111e-02 4.18e-06 2.03e-06  -7.0 2.41e-04  -2.1 1.00e+00 1.00e+00h  1
